Chi,Na,Nb,Nn,Pa,Pb,Pn
755.6,3.365618098891738,-1.9901664225147384,0.25000000000000006,3.0596535281779786,-2.0115180326046995,0.25132345156175084
774.4,3.387424248295494,-1.987856178768983,0.250000000000005,3.0794765893722205,-2.0114976151897603,0.25129132231435547
793.2,3.408636493278456,-1.9855457902236964,0.250000000303214,3.09876044843954,-2.011483769569745,0.25126071609157485
812.0,3.4292711990272613,-1.9830666674175736,0.2500000000000012,3.1175192718430838,-2.0114802285453903,0.25123152709363417
830.8000000000001,3.449407105810055,-1.9806232056415118,0.2500000080252479,3.135824641645509,-2.011469799455441,0.2512036591237396
849.6,3.4692488774283756,-1.977632151710373,0.2500000000000002,3.1538626158439804,-2.0114828591117586,0.25117702453125723
868.4,3.48925771997109,-1.9747498579858562,0.25000157850692717,3.1720524728635295,-2.013948271369559,0.251222735728615
887.2,3.5067513717901493,-1.9719011339290775,0.25000000000193445,3.187955792536501,-2.0114832591021,0.2511271415689934
906.0,3.5249316094387275,-1.9682394675982384,0.2500000000184918,3.204483281523518,-2.0114961676930747,0.25110375275939417
924.8000000000001,3.5426308435073652,-1.9655801626081202,0.25000000003276684,3.2205919061277486,-2.011494748603682,0.25108132084660806
943.6,3.5597025827829354,-1.9620016948207102,0.2500000000000002,3.2363754439647616,-2.011529826787255,0.2510597710894456
962.4000000000001,3.576942357613418,-1.9794730091819162,0.2504325474849107,3.2517657796485766,-2.011551184313986,0.2510390689943793
981.2,3.5934910543220955,-2.0199694178424314,0.2513495165060943,3.2668100493837477,-2.011573962478371,0.2510191602119899
1000.0,3.6096666622478324,-2.060306499241827,0.25226833561315465,3.2815151474980366,-2.0115998832607698,0.2510000000000008
1050.0,3.6509886803666136,-2.165459350504503,0.2546920099739387,3.3190806185151054,-2.0116780198241386,0.2509523809526104
1332.142857142857,3.8451763498790097,-2.2140156967319164,0.2590011641602138,3.49561486679053,-2.0127415441243564,0.25075067024206826
1614.2857142857142,3.9964299135495764,-2.214317096878549,0.2631989657407655,3.633118103261517,-2.013015542623482,0.25061946902654986
1896.4285714285716,4.116032413457011,-2.2106179956215284,0.2665399190012457,3.7418476485984624,-2.013735095168462,0.25052730697871395
2178.5714285714284,4.197148812371838,-2.215874344390204,0.2685097633013545,3.8311488769506323,-2.0144312221729495,0.250459018546757
2460.714285714286,4.436379296736572,-2.29643035863648,0.2711115131502937,4.03307208798017,-2.095393477124455,0.252814517429941
2742.857142857143,4.368785945742035,-2.2179611930841174,0.2692665315907707,3.9716235870589367,-2.0163283573498267,0.25038705048650106
3025.0,4.428839199062455,-2.2178758714213007,0.2681114961268706,4.026217453695473,-2.016250801494907,0.25033057851274654
3307.1428571428573,4.483226406246235,-2.2183137065858682,0.2663492009493796,4.075660369808406,-2.0166488242248803,0.250302400104892
3589.2857142857147,2.4103453143759346,-2.504554113650637,0.2500000862600573,2.1912230130741572,-2.4147356073714326,0.2502786069651742
3871.4285714285716,4.7437300890575615,-2.2694777857501247,0.2632498169716567,4.312481905041928,-2.0631616239067467,0.25217567173916544
4153.571428571429,4.61157174106245,-2.220118880889001,0.2596765621690632,4.192353671597985,-2.018289891948175,0.2502409611661618
4435.714285714286,4.660023939228642,-2.0849663461472048,0.2568620760105076,4.236533530973164,-2.018702524155198,0.25022544466139346
4717.857142857143,4.678460118695455,-1.9309119019712533,0.25401005765406204,4.253145562450422,-2.018866728479459,0.2502119606358866
5000.0,4.706657133821391,-1.8172747967344955,0.2516378682602598,4.279759290695253,-2.019194218586624,0.25020000000065895
